SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
,OKS 473(COMPLEJO DE ALUMINIO)(GRADO 00)(ISO 160)(PAO),OKS,H1,Grasa,
,OKS 473(COMPLEJO DE ALUMINIO)(GRADO 00)(ISO 160)(PAO),OKS,H1,Grasa,
,OKS 475(PTFE)(ESTEARATO DE LITIO)(GRADO 2)(ISO 30)(PAO),OKS,H2,Grasa,
,OKS 476(COMPLEJO DE ALUMINIO)(GRADO 2)(ISO 240),OKS,H1,Grasa,
,OKS 477(SILICATO)(GRADO 3)(ISO 1600)(PAO),OKS,H1,Grasa,
,OKS 478(INORGANICO)(GRADO 3)(ISO 1700)(PAO),OKS,H1,Grasa,
,OKS 479(COMPLEJO DE ALUMINIO)(GRADO 1)(ISO 360)(PAO),OKS,H1,Grasa,
,OKS 480(SULFONATO DE CALCIO)(GRADO 2)(ISO 100)(PAO),OKS,H1,Grasa,
,OKS 481(COMPLEJO DE CALCIO)(GRADO 2)(ISO 100)(PAO),OKS,H1,Grasa,
,OKS 490(GRAF)(COMPLEJO DE ALUMINIO)(GRADO 0(ISO 1000),OKS,,Grasa,
,OKS 495(GRAF)(COMPLEJO DE ALUMINIO)(GRADO 1)(SEMIPAO)(ISO 500),OKS,,Grasa,
,OKS 1110(INORGANICO)(GRADO 3)(ISO 9500)(POLIFENILMETILSILOXANO),OKS,H1,Grasa,
,,OKS,,Grasa,
,"OKS 1112(INORGANICO)(GRADO 3)(ISO 100,000)(POLIDMETILSILAXONA)",OKS,,Grasa,
,OKS 1133(ESTEARATO DE HIDROXIDO DE LITIO)(GRADO 2)(ISO 100)(POLIFENILMETILSILOXANO),OKS,,Grasa,
,OKS 1140(NEGRO DE HUMO ESPECIAL)(GRADO 2)(ISO 100)(POLIFENILMETILSILOXANO),OKS,,Grasa,
,OKS 1144(ESTEARATO DE LITIO)(GRADO 2)(ISO 125)(POLIFENILMETILSILOXANO),OKS,,Grasa,
